,alllinks
0,https://www.yahoo.com/
1,https://mail.yahoo.com/
2,https://www.flickr.com/
3,https://www.tumblr.com/
4,https://www.yahoo.com/entertainment/
5,https://www.yahoo.com/lifestyle/
6,https://mobile.yahoo.com/
7,https://view.yahoo.com/?utm_source=yahoo&utm_medium=referral&utm_campaign=topbar
8,https://www.yahoo.com/everything/
9,https://www.yahoo.com/news/politics/
10,https://answers.yahoo.com/
11,https://groups.yahoo.com/
12,https://www.yahoo.com/music/
13,https://www.yahoo.com/tech/
14,https://shopping.yahoo.com/
15,#
16,https://www.yahoo.com/
17,https://login.yahoo.com/config/login?.src=fpctx&.intl=us&.lang=en-US&.done=https%3A%2F%2Fwww.yahoo.com
18,https://mail.yahoo.com/
19,https://login.yahoo.com/config/login?.src=fpctx&.intl=us&.lang=en-US&.done=https%3A%2F%2Fwww.yahoo.com
20,#mega-bottombar-mail
21,#Main
22,#Aside
23,https://mail.yahoo.com/
24,https://www.yahoo.com/news/
25,https://finance.yahoo.com/
26,https://sports.yahoo.com/
27,https://www.yahoo.com/news/politics/
28,https://www.yahoo.com/entertainment/
29,https://www.yahoo.com/lifestyle/
30,https://www.yahoo.com/everything/
31,https://sports.yahoo.com/ashley-wagner-rips-judges-4th-place-finish-u-s-figure-skating-nationals-044432622.html
32,javascript:void(0)
33,https://sports.yahoo.com/ashley-wagner-rips-judges-4th-place-finish-u-s-figure-skating-nationals-044432622.html
34,https://www.yahoo.com/news/trump-says-hed-open-talking-north-korean-leader-180325961--politics.html
35,https://www.yahoo.com/entertainment/ryan-reynolds-responds-deadpool-superfans-drugged-post-dentist-video-185725527.html
36,https://www.yahoo.com/news/more-departures-horizon-struggling-white-house-staff-074043869.html
37,https://finance.yahoo.com/news/stop-people-tracking-whether-youve-opened-email-194421221.html
38,https://www.yahoo.com/lifestyle/demi-lovatos-beach-body-photo-important-reminder-new-year-232631464.html
39,https://www.yahoo.com/news/m/af904095-c84a-3477-8a00-260f9a293ec0/ss_a-look-inside-the-marriage-of.html
40,https://www.yahoo.com/news/m/af904095-c84a-3477-8a00-260f9a293ec0/ss_a-look-inside-the-marriage-of.html
41,https://www.yahoo.com/news/m/af904095-c84a-3477-8a00-260f9a293ec0/ss_a-look-inside-the-marriage-of.html
42,javascript:void(0)
43,https://www.yahoo.com/news/m/3661274f-9f01-3bc9-97c5-11cf9b82b3c7/ss_united-passenger-befouled-the.html
44,https://www.yahoo.com/news/m/3661274f-9f01-3bc9-97c5-11cf9b82b3c7/ss_united-passenger-befouled-the.html
45,https://www.yahoo.com/news/m/3661274f-9f01-3bc9-97c5-11cf9b82b3c7/ss_united-passenger-befouled-the.html
46,https://www.yahoo.com/news/plane-grounded-5-000-miles-222500259.html
47,https://www.yahoo.com/news/m/fcbbdb5b-99d3-356f-b718-fb4c9e32956b/ss_united-airlines-plane-forced.html
48,https://www.yahoo.com/news/m/3661274f-9f01-3bc9-97c5-11cf9b82b3c7/ss_united-passenger-befouled-the.html
49,javascript:void(0)
50,https://www.yahoo.com/entertainment/courtney-stodden-begs-estranged-husband-181430434.html
51,https://www.yahoo.com/entertainment/courtney-stodden-begs-estranged-husband-181430434.html
52,https://www.yahoo.com/entertainment/courtney-stodden-begs-estranged-husband-181430434.html
53,javascript:void(0)
54,https://www.yahoo.com/entertainment/aaron-rodgers-fires-romance-danica-194527508.html
55,https://www.yahoo.com/entertainment/aaron-rodgers-fires-romance-danica-194527508.html
56,https://www.yahoo.com/entertainment/aaron-rodgers-fires-romance-danica-194527508.html
57,https://www.yahoo.com/entertainment/m/dba3c34b-bfe3-3c59-aa44-6b51da31a194/how-aaron-rodgers-may-be.html
58,https://www.yahoo.com/entertainment/m/518437fc-0fe7-30b8-be94-dc6de320b217/ss_danica-patrick-can-only-smile.html
59,https://www.yahoo.com/entertainment/aaron-rodgers-fires-romance-danica-194527508.html
60,javascript:void(0)
61,https://www.yahoo.com/lifestyle/m/8437b9fc-dd1e-317e-890f-da8b18fbcd3e/horrible-side-effects-of.html
62,https://www.yahoo.com/lifestyle/m/8437b9fc-dd1e-317e-890f-da8b18fbcd3e/horrible-side-effects-of.html
63,https://www.yahoo.com/lifestyle/m/8437b9fc-dd1e-317e-890f-da8b18fbcd3e/horrible-side-effects-of.html
64,javascript:void(0)
65,https://www.yahoo.com/news/trump-apos-demands-help-dreamers-015330210.html
66,https://www.yahoo.com/news/trump-apos-demands-help-dreamers-015330210.html
67,https://www.yahoo.com/news/trump-apos-demands-help-dreamers-015330210.html
68,https://www.yahoo.com/news/m/a7a0b819-5154-3921-abe8-eeb52fed0fdd/ss_where%E2%80%99s-the-border-security%3F.html
69,https://www.yahoo.com/news/donald-trump-wants-18-billion-142149516.html
70,https://www.yahoo.com/news/trump-apos-demands-help-dreamers-015330210.html
71,javascript:void(0)
72,https://www.yahoo.com/lifestyle/m/31657507-8ce2-3a9f-8eda-40fe9949ce19/ss_an-ancient-syriac-text-says-a.html
73,https://www.yahoo.com/lifestyle/m/31657507-8ce2-3a9f-8eda-40fe9949ce19/ss_an-ancient-syriac-text-says-a.html
74,https://www.yahoo.com/lifestyle/m/31657507-8ce2-3a9f-8eda-40fe9949ce19/ss_an-ancient-syriac-text-says-a.html
75,https://www.yahoo.com/lifestyle/m/7839197a-2f48-37c0-be49-33ebd73782f4/ss_what-is-three-kings-day%3F.html
76,https://www.yahoo.com/lifestyle/m/7d13a009-702b-3877-b629-7a0137a3e295/ss_joy-to-a-christian-can%E2%80%99t-be.html
77,https://www.yahoo.com/lifestyle/m/31657507-8ce2-3a9f-8eda-40fe9949ce19/ss_an-ancient-syriac-text-says-a.html
78,javascript:void(0)
79,"https://search.yahoo.com/search?p=Josh+McDaniels&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
80,"https://search.yahoo.com/search?p=Polina+Edmunds&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
81,"https://search.yahoo.com/search?p=Marc+Leishman&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
82,"https://search.yahoo.com/search?p=Maya+Rockeymoore&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
83,"https://search.yahoo.com/search?p=Tiger+Woods&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
84,"https://search.yahoo.com/search?p=Toyota+Tacoma&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:rev,pg:1,stl:crsl,b:"
85,"https://search.yahoo.com/search?p=Tristan+Thompson&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
86,"https://search.yahoo.com/search?p=Elina+Svitolina&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
87,"https://search.yahoo.com/search?p=Plaque+Psoriasis+Causes&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:rev,pg:1,stl:crsl,b:"
88,"https://search.yahoo.com/search?p=Norton&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:rev,pg:1,stl:crsl,b:"
89,https://overview.mail.yahoo.com/
90,https://weather.yahoo.com
91,https://weather.yahoo.com/bd/dhaka/dhaka-22503141/
92,https://weather.yahoo.com/bd/dhaka/dhaka-22503141/
93,https://weather.yahoo.com/bd/dhaka/dhaka-22503141/
94,https://weather.yahoo.com/bd/dhaka/dhaka-22503141/
