,alllinks
0,https://www.yahoo.com/
1,https://mail.yahoo.com/
2,https://www.flickr.com/
3,https://www.tumblr.com/
4,https://www.yahoo.com/entertainment/
5,https://www.yahoo.com/lifestyle/
6,https://mobile.yahoo.com/
7,https://view.yahoo.com/?utm_source=yahoo&utm_medium=referral&utm_campaign=topbar
8,https://www.yahoo.com/everything/
9,https://www.yahoo.com/news/politics/
10,https://answers.yahoo.com/
11,https://groups.yahoo.com/
12,https://www.yahoo.com/music/
13,https://www.yahoo.com/tech/
14,https://shopping.yahoo.com/
15,#
16,https://www.yahoo.com/
17,https://login.yahoo.com/config/login?.src=fpctx&.intl=us&.lang=en-US&.done=https%3A%2F%2Fwww.yahoo.com
18,https://mail.yahoo.com/
19,https://login.yahoo.com/config/login?.src=fpctx&.intl=us&.lang=en-US&.done=https%3A%2F%2Fwww.yahoo.com
20,#mega-bottombar-mail
21,#Main
22,#Aside
23,https://mail.yahoo.com/
24,https://www.yahoo.com/news/
25,https://finance.yahoo.com/
26,https://sports.yahoo.com/
27,https://www.yahoo.com/news/politics/
28,https://www.yahoo.com/entertainment/
29,https://www.yahoo.com/lifestyle/
30,https://www.yahoo.com/everything/
31,https://www.yahoo.com/lifestyle/27-year-old-woman-dying-cancer-pens-heartbreaking-eye-opening-letter-224708485.html
32,javascript:void(0)
33,https://www.yahoo.com/lifestyle/27-year-old-woman-dying-cancer-pens-heartbreaking-eye-opening-letter-224708485.html
34,https://finance.yahoo.com/news/staggering-amount-u-s-retail-stores-closed-2017-161401876.html
35,https://www.yahoo.com/news/literally-knocked-door-michael-wolff-explains-white-house-access-162155739.html
36,https://www.yahoo.com/lifestyle/woody-allen-vivid-obsession-young-women-girls-researcher-says-231242056.html
37,https://www.yahoo.com/lifestyle/chinese-family-4-completely-transformed-6-months-173524688.html
38,https://www.yahoo.com/news/falling-apart-trumps-insults-not-forgotten-atlanta-134827828--spt.html
39,https://www.yahoo.com/entertainment/brad-pitt-bid-120-000-155447741.html
40,https://www.yahoo.com/entertainment/brad-pitt-bid-120-000-155447741.html
41,https://www.yahoo.com/entertainment/brad-pitt-bid-120-000-155447741.html
42,https://www.yahoo.com/entertainment/m/a4f19516-cefc-350b-bd8c-94db73c64378/these-popular-actors-almost.html
43,https://www.yahoo.com/entertainment/m/b37222de-03e3-3f7e-a1ce-822ccd7feb23/ss_%27game-of-thrones%27-star-kit.html
44,https://www.yahoo.com/entertainment/brad-pitt-bid-120-000-155447741.html
45,javascript:void(0)
46,https://www.yahoo.com/news/trump-slams-cnn-says-stephen-165943613.html
47,https://www.yahoo.com/news/trump-slams-cnn-says-stephen-165943613.html
48,https://www.yahoo.com/news/trump-slams-cnn-says-stephen-165943613.html
49,https://www.yahoo.com/news/m/d8d1107b-6a6e-329f-890c-d04713eb955d/ss_michael-wolff-scoffs-at-tony.html
50,https://www.yahoo.com/news/booked-trump-staffers-cried-wolff-070004898.html
51,https://www.yahoo.com/news/trump-slams-cnn-says-stephen-165943613.html
52,javascript:void(0)
53,https://www.yahoo.com/news/m/9b5cc31e-7cce-321d-ba1b-c903d24467e8/ss_the-extravagant-lives-of-the.html
54,https://www.yahoo.com/news/m/9b5cc31e-7cce-321d-ba1b-c903d24467e8/ss_the-extravagant-lives-of-the.html
55,https://www.yahoo.com/news/m/9b5cc31e-7cce-321d-ba1b-c903d24467e8/ss_the-extravagant-lives-of-the.html
56,https://www.yahoo.com/news/m/dddae164-8bee-32e1-a6a7-fb39b86891e3/ss_us-puts-iran-%27on-notice%27-over.html
57,https://www.yahoo.com/news/irans-top-diplomat-un-meeting-protests-us-blunder-070743104.html
58,https://www.yahoo.com/news/m/9b5cc31e-7cce-321d-ba1b-c903d24467e8/ss_the-extravagant-lives-of-the.html
59,javascript:void(0)
60,https://www.yahoo.com/lifestyle/best-golden-globes-nominee-makeovers-230000504.html
61,https://www.yahoo.com/lifestyle/best-golden-globes-nominee-makeovers-230000504.html
62,https://www.yahoo.com/lifestyle/best-golden-globes-nominee-makeovers-230000504.html
63,https://www.yahoo.com/entertainment/natalie-portman-mark-ruffalo-more-182208498.html
64,https://www.yahoo.com/entertainment/m/37e86d11-6e1b-3bad-ab88-f80c2dc90012/ss_not-so-golden-globes%3A.html
65,https://www.yahoo.com/lifestyle/best-golden-globes-nominee-makeovers-230000504.html
66,javascript:void(0)
67,https://www.yahoo.com/news/rnc-apos-birthday-wishes-request-080600082.html
68,https://www.yahoo.com/news/rnc-apos-birthday-wishes-request-080600082.html
69,https://www.yahoo.com/news/rnc-apos-birthday-wishes-request-080600082.html
70,https://www.yahoo.com/news/m/31a9515e-223e-3d35-bc7a-dc1b74d59605/ss_billionaire-sending-%27fire-and.html
71,https://www.yahoo.com/news/m/3fb24495-5dff-3cfa-8b87-794a061c001f/ss_bannon%3A-%27i-regret%27-delay-in.html
72,https://www.yahoo.com/news/rnc-apos-birthday-wishes-request-080600082.html
73,javascript:void(0)
74,https://www.yahoo.com/news/why-google-taking-over-vegas-011900354.html
75,https://www.yahoo.com/news/why-google-taking-over-vegas-011900354.html
76,https://www.yahoo.com/news/why-google-taking-over-vegas-011900354.html
77,https://www.yahoo.com/finance/m/4f32a3c5-21d8-38e4-8dfc-d068c7733979/ss_6-tech-trends-to-watch-at-ces.html
78,https://www.yahoo.com/finance/m/a78c6bc3-0735-3ddc-893a-2cffed4e2655/ss_in-rare-showing%2C-google.html
79,https://www.yahoo.com/news/why-google-taking-over-vegas-011900354.html
80,javascript:void(0)
81,https://sports.yahoo.com/darrelle-revis-draws-criticism-perceived-131449579.html
82,https://sports.yahoo.com/darrelle-revis-draws-criticism-perceived-131449579.html
83,https://sports.yahoo.com/darrelle-revis-draws-criticism-perceived-131449579.html
84,https://www.yahoo.com/sports/m/464890ba-5a8c-3a75-9e6a-610a13a546c4/ss_nfl-playoff-bracket-2018%3A.html
85,https://www.yahoo.com/sports/m/dc85bc85-c462-35fb-9be7-5b64dcc1c923/ss_titans-vs.-chiefs%2C-what-to.html
86,https://sports.yahoo.com/darrelle-revis-draws-criticism-perceived-131449579.html
87,javascript:void(0)
88,"https://search.yahoo.com/search?p=Layne+Chesney&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
89,"https://search.yahoo.com/search?p=Pat+Shurmur&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
90,"https://search.yahoo.com/search?p=Belinda+Bencic&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
91,"https://search.yahoo.com/search?p=Stephen+Curry&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
92,"https://search.yahoo.com/search?p=Medicare+Plans&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:rev,pg:1,stl:crsl,b:"
93,"https://search.yahoo.com/search?p=Chevrolet+Suburban&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:rev,pg:1,stl:crsl,b:"
94,"https://search.yahoo.com/search?p=Angelique+Kerber&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
95,"https://search.yahoo.com/search?p=Karen+Gillan&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
96,"https://search.yahoo.com/search?p=Alicia+Vikander&fr=fp-tts&fr2=p:fp,m:tn,ct:all,kt:org,pg:1,stl:crsl,b:"
