,alllinks
0,https://www.google.com.bd/imghp?hl=bn&tab=wi
1,https://maps.google.com.bd/maps?hl=bn&tab=wl
2,https://news.google.com.bd/nwshp?hl=bn&tab=wn
3,https://mail.google.com/mail/?tab=wm
4,https://drive.google.com/?tab=wo
5,https://www.google.com/calendar?tab=wc
6,https://translate.google.com.bd/?hl=bn&tab=wT
7,http://www.google.com.bd/history/optout?hl=bn
8,/preferences?hl=bn
9,https://accounts.google.com/ServiceLogin?hl=bn&passive=true&continue=https://www.google.com/
10,/advanced_search?hl=bn&authuser=0
11,/language_tools?hl=bn&authuser=0
12,https://www.google.com/setprefs?sig=0_uBDWttRFRH7h_Xsrsv70L1dzf0I%3D&hl=en&source=homepage&sa=X&ved=0ahUKEwiP_NyNgdPaAhUHQY8KHZXIDw0Q2ZgBCAU
13,/intl/bn/about.html
14,https://www.google.com/setprefs?sig=0_uBDWttRFRH7h_Xsrsv70L1dzf0I%3D&hl=en
15,https://www.yahoo.com/
16,https://mail.yahoo.com/
17,https://www.flickr.com/
18,https://www.tumblr.com/
19,https://www.yahoo.com/entertainment/
20,https://www.yahoo.com/lifestyle/
21,https://mobile.yahoo.com/
22,https://view.yahoo.com/?utm_source=yahoo&utm_medium=referral&utm_campaign=topbar
23,https://www.yahoo.com/everything/
24,https://www.yahoo.com/news/politics/
25,https://answers.yahoo.com/
26,https://groups.yahoo.com/
27,https://www.yahoo.com/music/
28,https://www.yahoo.com/tech/
29,https://shopping.yahoo.com/
30,#
31,https://www.yahoo.com/
32,https://login.yahoo.com/config/login?.src=fpctx&.intl=us&.lang=en-US&.done=https%3A%2F%2Fwww.yahoo.com
33,https://mail.yahoo.com/
34,https://login.yahoo.com/config/login?.src=fpctx&.intl=us&.lang=en-US&.done=https%3A%2F%2Fwww.yahoo.com
35,#mega-bottombar-mail
36,#Main
37,#Aside
38,https://mail.yahoo.com/
39,https://www.yahoo.com/news/
40,https://finance.yahoo.com/
41,https://sports.yahoo.com/
42,https://www.yahoo.com/news/politics/
43,https://www.yahoo.com/entertainment/
44,https://www.yahoo.com/lifestyle/
45,https://www.yahoo.com/everything/
46,https://finance.yahoo.com/news/flight-records-illuminate-mystery-trumps-181417911.html
47,https://finance.yahoo.com/news/flight-records-illuminate-mystery-trumps-181417911.html
48,https://www.yahoo.com/news/motive-elusive-van-driver-kills-041158290.html
49,https://www.yahoo.com/news/senate-delays-confirmation-hearings-white-014542999.html
50,https://www.yahoo.com/entertainment/controversial-american-idol-top-14-results-spark-confusion-outrage-042353892.html
51,https://www.yahoo.com/news/macaulay-culkin-tells-ellen-why-140534464.html
52,https://sports.yahoo.com/pennsylvania-golf-club-apologized-calling-police-black-women-members-playing-slow-232231330.html
53,https://www.yahoo.com/lifestyle/teens-racist-promposal-goes-viral-black-id-picking-cotton-213551339.html
